filename,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_MSE
ant-1.3_ant-1.4,0.554267272292613,0.5628735357398996,0.5546258666029166,0.5500836720057375,0.5583313411427205,0.5721969878077935
ant-1.4_ant-1.5,0.7190638712823013,0.7254022428083862,0.7161384690394929,0.7510482691370063,0.7447098976109215,0.7220867869332033
ant-1.5_ant-1.6,0.7650966183574879,0.7536231884057971,0.7606218258392171,0.7884305710392667,0.7583070110244023,0.7707017217886784
ant-1.6_ant-1.7,0.8188316587903578,0.8276617290814503,0.8133592788213335,0.8279714864381875,0.8227969500814106,0.8259243080100075
camel-1.0_camel-1.2,0.640508419036096,0.6103832677959266,0.6541326376285541,0.6447415683605565,0.6136443839483767,0.6186164045170397
camel-1.2_camel-1.4,0.7735930439545392,0.7593797069697384,0.7744112008763522,0.7742092290839381,0.7686327536628783,0.7699404354374915
camel-1.4_camel-1.6,0.7434113989637305,0.7244642487046632,0.7275274611398964,0.7277979274611399,0.7511025906735751,0.7505968911917098
ivy-1.1_ivy-1.4,0.76417704011065,0.7715537113877363,0.7782388197325957,0.7699400645458737,0.7466574458275703,0.7524204702627939
ivy-1.4_ivy-2.0,0.7481737012987013,0.7861708603896104,0.7145900974025974,0.7712560876623377,0.7957589285714286,0.7935267857142857
jedit-3.2_jedit-4.0,0.8341286367054196,0.8422841112846319,0.8421105905489039,0.8471282318237029,0.8439180982127364,0.8523049337729192
jedit-4.0_jedit-4.1,0.7845179014533853,0.7991920713694908,0.7755228642325417,0.8018137776202292,0.8259482453030841,0.7931879948008981
jedit-4.1_jedit-4.2,0.8689270474525731,0.8727057734820832,0.8764587938923448,0.8735283532980309,0.8744280499717239,0.8732970027247956
jedit-4.2_jedit-4.3,0.6441395663956639,0.6746273712737128,0.6444783197831978,0.6646341463414634,0.6471883468834688,0.6587059620596206
log4j-1.0_log4j-1.1,0.8094730104544485,0.8095796885001066,0.8022189033496906,0.8077661617239172,0.8110731811393215,0.8088329421804993
log4j-1.1_log4j-1.2,0.5551670095014203,0.5538250563228524,0.548658046821432,0.5528651190126359,0.5485454011166617,0.5579292780879616
lucene-2.0_lucene-2.2,0.7119345185706741,0.7101840442801541,0.7100275773044652,0.7126972950771577,0.7143059711709597,0.7127657493790217
lucene-2.2_lucene-2.4,0.6662416232315711,0.674385703648548,0.6696667907669397,0.673240878629933,0.6653341399851079,0.6696342144452718
poi-1.5_poi-2.0,0.7212967499591704,0.6728727747836029,0.6485382982198269,0.6993303935979095,0.6714029070716969,0.6933692634329577
poi-2.0_poi-2.5,0.4588971512358609,0.462138667783829,0.4864421868454126,0.4700251361541684,0.4703131545873481,0.4856514453288647
poi-2.5_poi-3.0,0.6781674208144797,0.6811108597285068,0.6714615384615384,0.6840678733031674,0.6818031674208145,0.6824027149321267
synapse-1.0_synapse-1.1,0.721994721994722,0.7103239603239603,0.677950677950678,0.7076167076167076,0.6721721721721722,0.7282054782054782
synapse-1.1_synapse-1.2,0.6439385775862069,0.6653556034482758,0.6332435344827586,0.6425646551724138,0.6375808189655172,0.6335398706896552
velocity-1.4_velocity-1.5,0.6197941666431375,0.6394104526075048,0.6421351328458085,0.651502103509614,0.6543891351610809,0.6349634356382529
velocity-1.5_velocity-1.6,0.7260974488623305,0.7309584003677315,0.7255343599172605,0.7504481728338313,0.7252815444725351,0.7252240864169156
xalan-2.4_xalan-2.5,0.643556531181328,0.6375526802738319,0.629127354342121,0.6271233345763181,0.6419195437073311,0.6257431524438722
xalan-2.5_xalan-2.6,0.6534481355932203,0.6411950282485875,0.6556384180790961,0.6527159322033899,0.6226684745762712,0.6369581920903955
xalan-2.6_xalan-2.7,0.568719691425037,0.5693318713569626,0.5695966958608474,0.5696755990520734,0.5686679962307855,0.5689065196709283
xerces-init_xerces-1.2,0.6200395256916996,0.5948023715415021,0.6498221343873518,0.5880434782608696,0.5895256916996048,0.6054644268774704
xerces-1.2_xerces-1.3,0.4350558739091148,0.6011849615116266,0.5142344073476764,0.5401297052465429,0.4766381864141189,0.5279140788525546
xerces-1.3_xerces-1.4,0.7330528702709154,0.7330464767360578,0.7220368097113532,0.7444685267590746,0.7407272432782637,0.7318999028182702
